id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-1,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-2,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-3,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-4,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-5,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-6,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-7,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-8,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-9,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-10,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-11,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-12,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-13,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-47,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-48,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-49,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-50,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-51,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
sc-53,,0,lv-4,0,Steel ASTM A992,,0.254,0.254
