id,number,base_offset,material,function,thickness
ss-14,,-0.711,"Concrete, Cast-in-Place gray",floor,0.152
ss-22,,0,"Concrete, Cast-in-Place gray",floor,0.152
ss-24,,0,"Concrete, Cast-in-Place gray",floor,0.152
