id,number,base_offset,material,function,thickness
ss-2,,0,"Concrete, Cast-in-Place gray",floor,0.152
ss-6,,0,"Concrete, Cast-in-Place gray",floor,0.152
ss-8,,0,"Concrete, Cast-in-Place gray",floor,0.152
