id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-12,,0,lv-16,0,Steel,,0.371,0.363
sc-13,,0,lv-16,0,Steel,,0.371,0.363
sc-16,,0,lv-16,0,Steel,,0.371,0.363
sc-19,,0,lv-16,0,Steel,,0.254,0.254
sc-22,,0,lv-16,0,Steel,,0.254,0.254
sc-24,,0,lv-3,1.219,Steel,,0.287,0.483
sc-25,,0,lv-16,0,Steel,,0.254,0.254
sc-26,,0,lv-16,0,Steel,,0.254,0.254
sc-28,,0,lv-16,0,Steel,,0.254,0.254
sc-30,,0,lv-17,0,Steel,,0.371,0.363
sc-31,,0,lv-16,-1.511,Steel,,0.371,0.363
sc-32,,0,lv-16,-1.511,Steel,,0.371,0.363
sc-35,,0,lv-17,0,Steel,,0.371,0.363
sc-38,,0,lv-17,0,Steel,,0.254,0.254
sc-39,,0,lv-3,1.219,Steel,,0.371,0.363
sc-40,,0,lv-16,-2.047,Steel,,0.254,0.254
sc-41,,0,lv-16,-2.035,Steel,,0.254,0.254
