id,number,name,elevation
lv-1,,L1 - Block 43,0
lv-2,,L2,2.464
lv-3,,L3,5.74
lv-4,,L4,9.804
lv-5,,L5,13.868
lv-6,,R1,16.053
lv-7,,R2,17.932
lv-8,,Parking,-5.156
lv-9,,L1 - Block 37,-1.067
lv-10,,L1 - Block 35,-1.803
lv-11,,M1,1.676
