id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,top_level_id,top_offset,height,material,thickness
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fcfb2,Soffit - Beam Wrap (Both Sides),,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,,0.5956001314,-6.1722,8.28675,13.1699,-1.8938875,8.55345,13.716,-6.1722,8.4201,-1.8938875,8.4201,4.2783125,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,0.5461,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fcfcc,Soffit - Beam Wrap (Both Sides),,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,,,,0.5729414307,-5.8674,5.72135,17.2339,-1.8938875,5.98805,17.78,-5.8674,5.8547,-1.8938875,5.8547,3.9735125,02a23a8b-94c1-452d-91fe-6406594cff3b-00095ad3,-0.1524,0.5461,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd00e,"Chase - GWB & Metal Stud 4 1/4""",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,,0.09227965415,-6.1722,6.9929375,-1.0541,-5.768975,7.1008875,2.3114,-6.1722,7.0469125,-5.82295,7.0469125,0.34925,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,3.3655,Metal Furring,0.10795
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd025,"Chase - GWB & Metal Stud 4 1/4""",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,,0.8074469738,-5.876925,7.0469125,-1.0541,-5.768975,9.3773625,2.3114,-5.82295,7.0469125,-5.82295,9.3773625,2.33045,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,3.3655,Metal Furring,0.10795
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd036,"Chase - GWB & Metal Stud 4 1/4""",,561adf52-04d9-49cc-aa0c-378397704344-0009aa6e,,,,0.09227965415,-6.1722,9.3233875,-1.0541,-5.768975,9.4313375,2.3114,-5.82295,9.3773625,-6.1722,9.3773625,0.34925,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,3.3655,Metal Furring,0.10795
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd068,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,0.8631510621,1.0922,0.622681,5.0038,6.985,0.889381,5.588,1.0922,0.756031,6.985,0.756031,5.8928,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5842,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd06f,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,0.8840011917,1.2176125,5.715381,5.0038,7.070725,5.982081,5.588,1.2176125,5.848731,7.070725,5.848731,5.8531125,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5842,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd099,"Soffit - Beam Wrap 9 1/4"" (One Side)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,,,,0.5664450557,1.0922,12.528931,5.0419,6.985,12.732131,5.588,1.0922,12.646406,6.985,12.646406,5.8928,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090cfb,-0.1524,0.5461,Metal Stud Layer,0.23495
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd0c7,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,,0.8780649777,1.0668,5.715381,1.7272,6.985,5.982081,2.3114,1.0668,5.848731,6.985,5.848731,5.9182,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,0.5842,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd0ce,"Soffit - Beam Wrap 9 1/4"" (One Side)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,,,,0.5664450557,1.0922,12.528931,1.7653,6.985,12.732131,2.3114,1.0922,12.646406,6.985,12.646406,5.8928,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d19,-0.1524,0.5461,Metal Stud Layer,0.23495
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd114,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,,0.8365222342,1.0922,-4.012819,13.1699,6.985,-3.746119,13.716,1.0922,-3.879469,6.985,-3.879469,5.8928,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,0.5461,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd11a,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,,1.588507784,1.0922,0.622681,13.1699,12.573,0.889381,13.716,1.0922,0.756031,12.573,0.756031,11.4808,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,0.5461,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd121,"Soffit - Beam Wrap 10 1/2"" (Two Sides)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,,0.82634894,1.2176125,5.715381,13.1699,7.070725,5.982081,13.716,1.2176125,5.848731,7.070725,5.848731,5.8531125,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,0.5461,Metal Stud Layer,0.2667
15ebb97e-2dea-4a54-a982-fbf2eb91b0f2-001fd127,"Soffit - Beam Wrap 9 1/4"" (One Side)",,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,,,,0.5664450557,1.0922,12.528931,13.1699,6.985,12.732131,13.716,1.0922,12.646406,6.985,12.646406,5.8928,434b4aa7-f200-460c-b3bb-afb56c30ead0-00090d1b,-0.1524,0.5461,Metal Stud Layer,0.23495
