id,number,base_offset,top_level_id,top_offset,material
w-716,,0,lv-12,0,Metal Stud Layer
w-717,,0,lv-12,0,Metal Stud Layer
w-732,,-0.279,lv-17,0.216,Metal Stud Layer
w-812,,0.368,,0.381,Default Wall
w-813,,0.305,,0,Default Wall
w-814,,0.533,,0,Default Wall
w-821,,0.305,,0,Default Wall
w-822,,0.533,,0,Default Wall
w-893,,-0.279,lv-17,0.356,Metal Stud Layer
w-980,,0.368,,0.381,Default Wall
w-981,,0.368,,0.381,Default Wall
w-982,,0.368,,0.381,Default Wall
w-983,,0.368,,0.381,Default Wall
w-1046,,0.368,lv-11,-0.432,Metal Stud Layer
