id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type
co-199,,,-1.956,-1.956,,,,
co-200,,,0.66,-1.562,,,,
co-201,,,-1.956,-1.956,,,,
co-207,,,-1.956,-1.956,,,,
co-208,,,-1.956,-1.956,,,,
co-209,,,-1.956,-1.956,,,,
co-210,,,-1.956,-1.956,,,,
co-211,,,-1.956,-1.956,,,,
co-212,,,-1.956,-1.956,,,,
co-213,,,-1.956,-1.956,,,,
co-214,,,-1.956,-1.956,,,,
co-215,,,-1.956,-1.956,,,,
co-216,,,-1.956,-1.956,,,,
co-271,,,-1.956,-1.956,,,,
co-272,,,-1.956,-1.956,,,,
co-273,,,-1.854,-1.854,,,,
co-274,,,-1.854,-1.854,,,,
co-275,,,-1.854,-1.854,,,,
co-277,,,-2.667,-2.667,,,,
co-278,,,-1.956,-1.956,,,,
co-279,,,-2.667,-2.667,,,,
co-280,,,-2.667,-2.667,,,,
co-281,,,-2.667,-2.667,,,,
co-282,,,-1.956,-1.956,,,,
co-283,,,-2.047,-2.576,,,,
co-287,,,-3.937,-1.892,,,,
co-288,,,-2.718,-2.718,,,,
co-289,,,-3.937,-3.111,,,,
co-290,,,-2.718,-2.718,,,,
co-291,,,-2.667,-2.667,,,,
co-292,,,-2.718,-2.718,,,,
co-293,,,-2.671,-2.714,,,,
co-294,,,-2.667,-2.667,,,,
co-295,,,-2.667,-2.667,,,,
co-296,,,-2.148,-2.576,,,,
co-297,,,-2.057,-2.057,,,,
co-298,,,-2.057,-2.057,,,,
co-300,,,-2.057,-2.057,,,,
co-301,,,-2.057,-2.057,,,,
co-302,,,-1.346,-1.346,,,,
co-303,,,-1.346,-1.346,,,,
co-304,,,-1.346,-1.346,,,,
co-305,,,-1.702,-1.702,,,,
co-306,,,-1.346,-1.346,,,,
co-307,,,-1.425,-1.623,,,,
co-308,,,-1.425,-1.623,,,,
co-309,,,-1.346,-1.346,,,,
co-310,,,-1.702,-1.702,,,,
co-311,,,-1.346,-1.346,,,,
co-312,,,-1.425,-1.623,,,,
co-313,,,-1.425,-1.623,,,,
co-314,,,-1.346,-1.346,,,,
co-315,,,-1.346,-1.346,,,,
co-316,,,-1.702,-1.702,,,,
co-317,,,-1.346,-1.346,,,,
co-318,,,-1.425,-1.623,,,,
co-319,,,-1.425,-1.623,,,,
co-320,,,-1.346,-1.346,,,,
co-321,,,-1.346,-1.346,,,,
co-322,,,-1.702,-1.702,,,,
co-323,,,-1.346,-1.346,,,,
co-324,,,-1.425,-1.623,,,,
co-325,,,-1.425,-1.623,,,,
co-326,,,-1.346,-1.346,,,,
co-327,,,-1.346,-1.346,,,,
co-328,,,-1.702,-1.702,,,,
co-329,,,-1.346,-1.346,,,,
co-330,,,-1.425,-1.623,,,,
co-331,,,-1.425,-1.623,,,,
co-332,,,-1.346,-1.346,,,,
co-333,,,-1.702,-1.702,,,,
co-334,,,-1.346,-1.346,,,,
co-335,,,-1.425,-1.623,,,,
co-336,,,-1.425,-1.623,,,,
co-337,,,-1.346,-1.346,,,,
co-338,,,-1.346,-1.346,,,,
co-339,,,-1.346,-1.346,,,,
co-340,,,-1.397,-1.397,,,,
co-341,,,-1.353,-1.353,,,,
co-342,,,-1.353,-1.353,,,,
co-343,,,-1.397,-1.397,,,,
co-344,,,-2,-2,,,,
co-345,,,-1.554,-1.843,,,,
co-346,,,-1.843,-1.554,,,,
co-347,,,-1.397,-1.397,,,,
co-348,,,-1.397,-1.397,,,,
co-349,,,-1.905,-1.905,,,,
co-350,,,-1.554,-1.748,,,,
co-351,,,-1.748,-1.554,,,,
co-352,,,-1.397,-1.397,,,,
co-353,,,-1.905,-1.905,,,,
co-354,,,-1.554,-1.748,,,,
co-355,,,-1.748,-1.554,,,,
co-356,,,-1.397,-1.397,,,,
co-357,,,-1.397,-1.397,,,,
co-358,,,-2.159,-2.159,,,,
co-359,,,-2.002,-1.554,,,,
co-360,,,-1.397,-1.397,,,,
co-361,,,-2.159,-2.159,,,,
co-362,,,-2.654,-2.654,,,,
co-363,,,-2.316,-2.497,,,,
co-364,,,-2.316,-2.497,,,,
co-365,,,-2.159,-2.159,,,,
co-366,,,-2.159,-2.159,,,,
co-367,,,-2.654,-2.654,,,,
co-368,,,-2.316,-2.497,,,,
co-369,,,-2.316,-2.497,,,,
co-370,,,-2.159,-2.159,,,,
co-371,,,-1.353,-1.353,,,,
co-372,,,-1.353,-1.353,,,,
co-373,,,-1.346,-1.346,,,,
co-374,,,-1.702,-1.702,,,,
co-375,,,-1.346,-1.346,,,,
co-376,,,-1.425,-1.623,,,,
co-377,,,-1.425,-1.623,,,,
co-378,,,-1.346,-1.346,,,,
co-379,,,-1.346,-1.346,,,,
co-380,,,-1.346,-1.346,,,,
co-381,,,-1.353,-1.353,,,,
co-382,,,-1.353,-1.353,,,,
co-383,,,-2.102,-2.102,,,,
co-384,,,-2.457,-2.457,,,,
co-385,,,-2.102,-2.102,,,,
co-386,,,-2.181,-2.378,,,,
co-387,,,-2.181,-2.378,,,,
co-388,,,-2.102,-2.102,,,,
co-389,,,-2.102,-2.102,,,,
co-390,,,-2.102,-2.102,,,,
co-391,,,-2.457,-2.457,,,,
co-392,,,-2.102,-2.102,,,,
co-393,,,-2.181,-2.378,,,,
co-394,,,-2.181,-2.378,,,,
co-395,,,-2.102,-2.102,,,,
co-396,,,-2.102,-2.102,,,,
co-397,,,-2.102,-2.102,,,,
co-398,,,-2.102,-2.102,,,,
co-399,,,-2.102,-2.102,,,,
co-400,,,-2.102,-2.102,,,,
co-401,,,-2.102,-2.102,,,,
co-402,,,-2.457,-2.457,,,,
co-403,,,-2.102,-2.102,,,,
co-404,,,-2.181,-2.378,,,,
co-405,,,-2.181,-2.378,,,,
co-406,,,-2.102,-2.102,,,,
co-407,,,-2.102,-2.102,,,,
co-408,,,-2.457,-2.457,,,,
co-409,,,-2.102,-2.102,,,,
co-410,,,-2.181,-2.378,,,,
co-411,,,-2.181,-2.378,,,,
co-412,,,-2.102,-2.102,,,,
co-413,,,-2.102,-2.102,,,,
co-414,,,-2.457,-2.457,,,,
co-415,,,-2.102,-2.102,,,,
co-416,,,-2.181,-2.378,,,,
co-417,,,-2.181,-2.378,,,,
co-418,,,-2.102,-2.102,,,,
co-419,,,-1.346,-1.346,,,,
co-420,,,-1.702,-1.702,,,,
co-421,,,-1.346,-1.346,,,,
co-422,,,-1.425,-1.623,,,,
co-423,,,-1.425,-1.623,,,,
co-424,,,-1.353,-1.353,,,,
co-425,,,-1.353,-1.353,,,,
co-426,,,-1.346,-1.346,,,,
co-427,,,-1.346,-1.346,,,,
co-428,,,-1.702,-1.702,,,,
co-429,,,-1.346,-1.346,,,,
co-430,,,-1.425,-1.623,,,,
co-431,,,-1.425,-1.623,,,,
co-432,,,-1.353,-1.353,,,,
co-433,,,-1.353,-1.353,,,,
co-434,,,-1.346,-1.346,,,,
co-435,,,-1.397,-1.397,,,,
co-436,,,-1.24,-0.513,,,,
co-437,,,-0.355,-0.355,,,,
co-438,,,-0.305,-0.305,,,,
co-439,,,-0.305,-0.305,,,,
co-440,,,-0.305,-0.305,,,,
co-441,,,-0.305,-0.305,,,,
co-442,,,-0.66,-0.66,,,,
co-443,,,-0.305,-0.305,,,,
co-444,,,-0.399,-0.566,,,,
co-445,,,-0.399,-0.566,,,,
co-446,,,-0.305,-0.305,,,,
co-447,,,-0.305,-0.305,,,,
co-448,,,-0.305,-0.305,,,,
co-449,,,-0.305,-0.305,,,,
co-450,,,-0.305,-0.305,,,,
co-451,,,-0.356,-0.356,,,,
co-452,,,-2.311,-2.311,,,,
co-453,,,-2.705,-3.378,,,,
co-454,,,-0.749,-1.803,,,,
co-455,,,-0.641,-0.641,,,,
co-456,,,-0.562,-0.384,,,,
co-457,,,-0.305,-0.305,,,,
co-458,,,-0.562,-0.384,,,,
co-459,,,-0.305,-0.305,,,,
co-460,,,-0.305,-0.305,,,,
co-461,,,-0.305,-0.305,,,,
co-462,,,-0.83,-3.378,,,,
co-463,,,-0.641,-0.641,,,,
co-464,,,-1.499,-1.499,,,,
co-466,,,-1.499,-1.499,,,,
co-467,,,-2.102,-2.102,,,,
co-468,,,-2.102,-2.102,,,,
co-469,,,-2.61,-2.61,,,,
co-470,,,-2.181,-2.531,,,,
co-471,,,-1.346,-1.346,,,,
co-472,,,-1.346,-1.346,,,,
co-473,,,-1.346,-1.346,,,,
co-474,,,-0.305,-0.305,,,,
co-475,,,-0.305,-0.305,,,,
co-476,,,-0,-5.518,,,,
co-477,,,-0,-5.518,,,,
co-478,,,-0.641,-0.641,,,,
co-479,,,-0.641,-0.641,,,,
co-480,,,-0.641,-0.641,,,,
co-518,,,-2.102,-2.102,,,,
co-519,,,-2.102,-2.102,,,,
co-520,,,-1.94,-1.901,,,,
co-521,,,-1.933,-1.918,,,,
co-522,,,-1.93,-1.924,,,,
co-523,,,-5.518,-4.699,,,,
co-524,,,-5.518,-4.699,,,,
co-525,,,-6.375,-6.375,,,,
co-526,,,-6.375,-6.375,,,,
co-527,,,-6.375,-6.375,,,,
co-528,,,-6.375,-6.375,,,,
co-529,,,-2.489,-2.237,,,,
co-530,,,-2.116,-2.116,,,,
