id,number,base_offset,top_level_id,top_offset,material
w-3,,0,lv-6,0,Default Wall
w-18,,0,lv-4,0,Metal Stud Layer
w-22,,0,lv-4,0,Metal Stud Layer
w-23,,0,lv-4,0,Metal Stud Layer
w-27,,0,lv-2,0,"Concrete, Cast-in-Place gray"
w-30,,0,lv-2,-0.737,Metal Furring
w-31,,0,lv-2,-0.152,"Concrete, Cast-in-Place gray"
w-32,,0,lv-2,-0.152,Air
w-364,,0,lv-2,0,"Concrete, Cast-in-Place gray"
w-413,,0,lv-2,0,Metal Stud Layer
w-414,,0,lv-2,0,"Concrete, Cast-in-Place gray"
w-418,,0,lv-4,-0.152,Metal Furring
w-422,,0,lv-4,0,Metal Furring
w-423,,0,lv-4,0,Metal Furring
w-576,,0,lv-4,0.61,Metal Stud Layer
w-577,,0,lv-4,0.61,Metal Stud Layer
w-578,,0,lv-4,0.61,Metal Stud Layer
w-579,,0,lv-2,0,Metal Furring
w-670,,0,lv-2,-0.152,Metal Furring
w-671,,0,lv-2,-0.152,Metal Furring
w-674,,0,lv-2,-0.152,Air
w-675,,0,lv-2,0,Metal Furring
w-676,,0,lv-2,0,Metal Furring
w-700,,0,lv-2,-0.152,Metal Stud Layer
w-707,,0,lv-4,-0.762,Metal Stud Layer
w-708,,0,lv-4,-0.762,Metal Stud Layer
w-880,,0,lv-2,0,Metal Furring
w-881,,0,lv-2,0,Metal Furring
w-882,,0,lv-2,0,Metal Furring
