id,number,base_offset,system_type,terminal_type
tm-3,37,-0,,
tm-5,39,-0,,
tm-10,44,-0,,
tm-11,45,0.305,,
tm-14,48,-0,,
tm-15,49,0.305,,
tm-32,68,0,,
tm-33,69,0,,
tm-34,70,0,,
tm-35,71,0,,
tm-36,72,0,,
tm-37,73,0,,
tm-38,74,0,,
tm-39,75,0,,
tm-92,173,0,,
tm-93,174,0,,
tm-94,175,0.305,,
tm-101,76,-0,,
tm-102,77,-0,,
tm-103,78,0.305,,
tm-113,92,-0,,
tm-114,97,-0,,
tm-115,98,0.305,,
tm-122,227,-0,,
tm-123,228,-0,,
tm-124,229,0.305,,
tm-181,308,0,,
tm-215,345,0,,
tm-216,346,0,,
tm-217,347,0,,
tm-218,348,0,,
tm-229,365,0,,
tm-230,366,0,,
tm-241,380,0,,
tm-242,381,0,,
tm-253,416,0,,
tm-254,417,0,,
tm-265,428,0,,
tm-266,429,0,,
tm-387,24,0,,
tm-392,29,0,,
tm-433,392,0,,
tm-434,393,0,,
tm-435,394,0,,
tm-436,395,0,,
tm-437,396,0,,
tm-438,397,0,,
tm-439,398,-0,,
tm-440,399,-0,,
tm-441,400,0.305,,
tm-442,401,0,,
tm-443,402,0,,
