id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
c-6,,0,lv-6,0,,round,0.102,0.102
c-22,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-23,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-24,,0,lv-6,0,Gypsum Wall Board,rect,0.61,0.61
c-25,,0,lv-6,0,Gypsum Wall Board,rect,0.61,0.457
c-26,,0,lv-17,0,"Metal Panels 50""x60"" - White",rect,0.61,0.61
c-27,,0,lv-17,0,Gypsum Wall Board,rect,0.61,0.61
c-28,,0,lv-6,0,Gypsum Wall Board,rect,0.457,0.457
c-29,,0,lv-6,0,Gypsum Wall Board,rect,0.61,0.61
c-30,,0,lv-6,0,Gypsum Wall Board,rect,0.61,0.61
c-31,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-32,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-33,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-38,,0,lv-6,-0.152,Default Wall,rect,0.61,0.61
c-39,,0,lv-6,0,Default Wall,rect,0.61,0.61
c-40,,0,lv-6,-0.152,Default Wall,rect,0.61,0.61
c-41,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-44,,0,lv-6,0,Gypsum Wall Board,rect,0.61,0.61
c-45,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.559,0.61
c-46,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-47,,0,lv-6,0,Gypsum Wall Board,rect,0.61,0.61
c-48,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-49,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-50,,0,lv-6,0,Gypsum Wall Board,rect,0.61,0.813
c-77,,-0,lv-6,-0.152,Gypsum Wall Board,rect,0.559,0.61
c-81,,-0,lv-6,-0.152,Gypsum Wall Board,rect,0.483,0.61
c-109,,0,lv-6,-0.152,Gypsum Wall Board,rect,0.61,0.61
