id,number,base_offset,host_id,material,width,height
wn-1,87,0.914,w-706,Glass,0,0
wn-2,88,0.914,w-706,Glass,0,0
wn-3,91,0.914,w-706,Glass,0,0
wn-4,92,0.914,w-706,Glass,0,0
wn-5,93,0.914,w-706,Glass,0,0
wn-6,94,0.914,w-706,Glass,0,0
wn-31,148,0.914,w-39,Glass,0,0
wn-32,149,0.914,w-39,Glass,0,0
wn-43,186,0.889,w-339,Glass,0,0
wn-44,187,0.889,w-339,Glass,0,0
wn-47,171,0.889,w-345,Glass,0,0
wn-48,172,0.889,w-345,Glass,0,0
wn-51,178,0.889,w-351,Glass,0,0
wn-52,179,0.889,w-351,Glass,0,0
wn-65,129,0.33,w-603,,1.092,2.032
wn-66,132,0.33,w-603,,1.092,2.032
wn-67,134,0.33,w-603,,1.092,2.032
wn-68,136,0.33,w-603,,1.092,2.032
wn-74,153,0.381,w-656,,1.092,1.93
wn-75,154,0.381,w-656,,1.092,1.93
wn-76,155,0.381,w-656,,1.092,1.93
wn-77,156,0.381,w-656,,1.092,1.93
wn-86,198,0.737,w-658,,1.092,2.032
wn-87,199,0.737,w-658,,1.092,2.032
wn-88,200,0.737,w-658,,1.092,2.032
wn-89,201,0.737,w-658,,1.092,2.032
wn-90,202,0.737,w-658,,1.092,2.032
wn-91,203,0.737,w-658,,1.092,2.032
wn-96,212,0.737,w-666,,1.092,2.032
wn-97,213,0.737,w-666,,1.092,2.032
wn-98,214,0.737,w-666,,1.092,2.032
wn-99,215,0.737,w-666,,1.092,2.032
wn-100,216,0.737,w-666,,1.092,2.032
