id,number,base_offset,host_id,material,width,height,operation
d-3,S14,0,w-16,Aluminum,0,0,single_swing
d-8,S34,0,w-415,Aluminum,0,0,single_swing
d-25,403A,0,w-837,Aluminum,0,0,single_swing
d-30,407B,0,w-839,Aluminum,0,0,single_swing
d-32,408A,0,w-833,Aluminum,0,0,single_swing
d-36,408C,0,w-85,Aluminum,0,0,single_swing
d-37,407A,0,w-77,Aluminum,0,0,single_swing
d-39,409A,0,w-78,Aluminum,0,0,single_swing
d-40,410A,0,w-79,Aluminum,0,0,single_swing
d-50,404A,0,w-72,Aluminum,0,0,single_swing
d-60,405A,0,w-840,Aluminum,0,0,single_swing
d-61,403B,0,w-77,Aluminum,0,0,single_swing
d-62,405B,0,w-77,Aluminum,0,0,single_swing
d-65,S24,0,w-250,Aluminum,0,0,single_swing
d-73,402A,0,w-365,Aluminum,0,0,single_swing
d-76,409B,0,w-269,Aluminum,0,0,single_swing
d-77,410B,0,w-1031,Aluminum,0,0,single_swing
d-94,408OPN,0,w-182,,0,0,
d-96,401A,0,w-557,Aluminum,0,0,single_swing
d-99,404B,0,w-1034,Aluminum,0,0,single_swing
d-102,402B,0,w-472,Aluminum,0,0,single_swing
d-104,406C,0,w-496,Aluminum,0,0,single_swing
d-108,401B,0,w-526,Aluminum,0,0,single_swing
d-119,403OPN,0,w-125,,0,0,
d-134,401C,0,w-39,Glass,0,0,single_swing
d-135,410C,0,w-706,Glass,0,0,single_swing
d-139,406A,0,w-706,Glass,0,0,single_swing
d-141,406B,0,w-72,Aluminum,0,0,single_swing
d-142,405OPN,0,w-1044,,0,0,
