id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-28,,,8.788,8.788,round,0.102,0.102,hvac,,
du-29,,,8.636,7.722,round,0.102,0.102,hvac,,
du-30,,,8.788,8.788,round,0.102,0.102,hvac,,
du-31,,,8.788,8.788,round,0.102,0.102,hvac,,
du-38,,,9.055,9.055,round,0.102,0.102,hvac,,
du-39,,,7.722,8.903,round,0.102,0.102,hvac,,
du-40,,,9.042,9.042,round,0.102,0.102,hvac,,
du-41,,,7.722,8.89,round,0.102,0.102,hvac,,
du-42,,,9.042,9.042,round,0.102,0.102,hvac,,
du-43,,,7.722,8.89,round,0.102,0.102,hvac,,
du-44,,,9.042,9.042,round,0.102,0.102,hvac,,
du-45,,,9.042,9.042,round,0.102,0.102,hvac,,
du-78,,,9.055,9.055,round,0.102,0.102,hvac,,
du-79,,,9.055,9.055,round,0.102,0.102,hvac,,
du-80,,,9.042,9.042,round,0.102,0.102,hvac,,
du-81,,,9.042,9.042,round,0.102,0.102,hvac,,
du-90,,,7.722,8.89,round,0.102,0.102,hvac,,
du-91,,,9.56,9.56,round,0.102,0.102,hvac,,
du-92,,,9.516,9.087,round,0.102,0.102,hvac,,
du-93,,,9.042,9.042,round,0.102,0.102,hvac,,
du-94,,,9.042,9.042,round,0.102,0.102,hvac,,
du-95,,,9.042,9.042,round,0.102,0.102,hvac,,
du-101,,,9.563,9.563,round,0.102,0.102,hvac,,
du-105,,,9.563,9.563,round,0.102,0.102,hvac,,
du-106,,,9.055,9.055,round,0.102,0.102,hvac,,
du-107,,,9.487,9.077,round,0.102,0.102,hvac,,
du-108,,,9,9,round,0.102,0.102,hvac,,
du-109,,,9.563,9.563,round,0.102,0.102,hvac,,
du-110,,,9.077,9.487,round,0.102,0.102,hvac,,
du-111,,,9.487,9.131,round,0.102,0.102,hvac,,
du-119,,,7.722,9.411,round,0.102,0.102,hvac,,
du-120,,,9.563,9.563,round,0.102,0.102,hvac,,
du-121,,,9.487,9.119,round,0.102,0.102,hvac,,
du-122,,,9.042,9.042,round,0.102,0.102,hvac,,
du-123,,,9.119,9.487,round,0.102,0.102,hvac,,
du-124,,,9.563,9.563,round,0.102,0.102,hvac,,
du-129,,,9.563,9.563,round,0.102,0.102,hvac,,
du-130,,,9.373,9.408,round,0.102,0.102,hvac,,
du-131,,,9.22,9.22,round,0.102,0.102,hvac,,
du-132,,,8.979,9.068,round,0.102,0.102,hvac,,
du-136,,,8.839,9.074,round,0.102,0.102,hvac,,
du-137,,,9.215,9.411,round,0.102,0.102,hvac,,
du-158,,,8.827,8.826,round,0.102,0.102,hvac,,
du-159,,,8.827,8.827,round,0.102,0.102,hvac,,
du-171,,,8.788,8.788,round,0.102,0.102,hvac,,
du-172,,,7.722,9.411,round,0.102,0.102,hvac,,
