id,number,base_offset,top_level_id,top_offset,material,u_grid_count,v_grid_count,u_spacing,v_spacing,panel_material
cw-40,,0.349,lv-14,-0.737,composite,3,4,,,Glass
cw-41,,-0.229,lv-14,-0.737,composite,3,4,,,Glass
cw-42,,-0.229,lv-14,-0.737,composite,3,4,,,Glass
