id,number,base_offset,host_id,material,width,height
wn-1,188,0.914,w-5,Glass,3.048,3.048
wn-2,189,0.914,w-5,Glass,3.048,3.048
wn-3,190,0.914,w-5,Glass,3.048,3.048
wn-4,191,0.914,w-5,Glass,3.048,3.048
wn-17,204,0.914,w-5,Glass,1.016,2.54
wn-21,208,3.658,w-5,Glass,0.66,1.067
wn-31,218,0.914,w-6,Glass,2.54,2.032
wn-32,219,0.914,w-6,Glass,2.54,2.032
wn-33,220,0.914,w-6,Glass,2.54,2.032
wn-34,221,0.914,w-7,Glass,1.016,2.54
wn-35,222,0.914,w-7,Glass,1.016,2.54
wn-36,223,0.914,w-7,Glass,1.016,2.54
wn-52,239,0.305,w-56,Glass,5.588,3.81
wn-53,240,0.914,w-7,Glass,1.016,2.54
wn-57,244,0.914,w-7,Glass,1.016,2.54
