id,number,base_offset,name
sp-1,100,,Exhibit 1 100
sp-2,101,,Gift shop 101
sp-3,102,,Restroom 102
sp-4,103,,Restroom 103
sp-5,104,,Elevator 104
sp-6,105,,Lobby 105
sp-32,131,,Room Name 131
sp-45,144,,Restroom 144
sp-46,145,,Restroom 145
sp-47,146,,Elevator 146
sp-48,147,,Lobby 147
