id,number,name,elevation
lv-1,,Project Site Base,-0.428
lv-2,,Level 0,4.267
lv-3,,Level 1,8.839
lv-4,,Level 2,13.411
lv-5,,Level 3,17.983
lv-6,,Level 4,22.555
lv-7,,Level 5,27.127
