id,number,base_offset,x,y,name
sp-25,S1,,-31.959,6.687,Stair S1
sp-26,101,,-24.703,5.004,Café 101
sp-27,102,,-24.169,8.912,Café Kitchen 102
sp-28,103,,-24.186,1.238,Outdoor Covered Dining 103
sp-29,104,,-25.895,-5.888,Pocket Park 104
