id,number,base_offset,system_type,terminal_type
tm-1,,3.048,hvac,
tm-2,,3.048,hvac,
tm-3,,3.048,hvac,
tm-4,,3.048,hvac,
tm-5,,3.048,hvac,
tm-6,,3.048,hvac,
tm-7,,3.048,hvac,
