id,number,base_offset,top_level_id,top_offset,material,thickness
w-1,,0,lv-3,0,steel,0.371
w-2,,0,lv-3,0,steel,0.371
w-3,,0,lv-3,0,steel,0.371
w-4,,0,lv-3,0,steel,0.371
w-5,,0,lv-3,0,wood,0.114
w-6,,0,lv-3,0,wood,0.114
w-7,,0,lv-3,0,wood,0.114
w-8,,0,lv-3,0,wood,0.114
w-9,,0,lv-3,0,wood,0.114
w-10,,0,lv-3,0,wood,0.114
w-11,,0,lv-3,0,wood,0.114
w-12,,0,lv-3,0,wood,0.114
w-13,,0,lv-3,0,wood,0.114
w-14,,0,lv-3,0,wood,0.114
w-15,,0,lv-3,0,wood,0.114
w-16,,0,lv-3,0,wood,0.114
w-17,,0,lv-3,0,wood,0.114
