id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-2,,,5.179,5.461,round,0.025,0.025,plumbing,,
pi-3,,,5.179,5.346,round,0.025,0.025,plumbing,,
pi-4,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-5,,,5.179,5.346,round,0.025,0.025,plumbing,,
pi-6,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-7,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-8,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-9,,,5.224,5.346,round,0.025,0.025,plumbing,,
pi-10,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-11,,,5.486,5.486,round,0.051,0.051,plumbing,,
pi-12,,,5.236,5.435,round,0.051,0.051,plumbing,,
pi-13,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-14,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-15,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-16,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-17,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-18,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-19,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-20,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-21,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-22,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-23,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-24,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-25,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-26,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-27,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-28,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-29,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-30,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-31,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-32,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-33,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-34,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-35,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-36,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-37,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-38,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-39,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-40,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-41,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-42,,,4.737,4.737,round,0.013,0.013,plumbing,,
pi-43,,,5.045,4.752,round,0.013,0.013,plumbing,,
pi-44,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-45,,,5.185,5.185,round,0.051,0.051,plumbing,,
pi-46,,,5.185,5.185,round,0.051,0.051,plumbing,,
