id,number,base_offset,system_type,terminal_type
tm-1,1,0,hvac,
tm-2,3,0,hvac,
tm-3,4,0,hvac,
tm-4,10,0,hvac,
tm-5,11,0,hvac,
tm-6,13,0.406,hvac,
tm-7,14,0.406,hvac,
tm-8,15,2.896,hvac,
tm-9,17,2.896,hvac,
tm-10,18,2.896,hvac,
tm-17,28,0,hvac,
tm-18,29,2.95,hvac,
tm-19,30,0,hvac,
tm-20,32,2.95,hvac,
tm-21,33,2.95,hvac,
tm-22,36,0,hvac,
tm-23,38,0,hvac,
tm-26,41,2.438,hvac,
tm-27,47,2.438,hvac,
tm-28,49,2.438,hvac,
tm-30,52,2.362,hvac,
tm-31,53,2.362,hvac,
tm-32,55,2.362,hvac,
tm-33,56,2.362,hvac,
tm-36,61,2.328,hvac,
tm-37,63,2.328,hvac,
tm-42,69,2.328,hvac,
tm-43,71,2.328,hvac,
tm-54,82,2.328,hvac,
tm-55,83,2.328,hvac,
tm-56,86,1.918,hvac,
tm-340,550,0,hvac,
tm-341,552,2.362,hvac,
tm-342,553,2.362,hvac,
tm-343,554,2.328,hvac,
tm-344,555,2.328,hvac,
tm-345,556,2.328,hvac,
tm-346,557,2.328,hvac,
tm-347,558,1.918,hvac,
tm-348,559,1.918,hvac,
tm-349,560,1.918,hvac,
tm-350,561,0,hvac,
tm-351,562,2.438,hvac,
tm-352,563,0,hvac,
tm-353,564,0,hvac,
tm-355,566,0,hvac,
tm-379,590,0.305,hvac,
tm-380,591,2.134,hvac,
tm-381,592,3.962,hvac,
tm-382,593,5.791,hvac,
tm-509,723,2.95,hvac,
