id,number,base_offset,host_id,material,width,height
wn-19,119,1.054,w-706,Glass,1.27,1.524
wn-20,120,1.054,w-706,Glass,1.27,1.524
wn-21,122,1.054,w-706,Glass,1.27,1.524
wn-22,125,1.054,w-706,Glass,1.27,1.524
wn-23,126,1.054,w-706,Glass,1.27,1.524
wn-24,127,1.054,w-706,Glass,1.27,1.524
wn-57,111,0.94,w-594,,1.092,1.93
wn-58,112,0.94,w-594,,1.092,1.93
wn-59,113,0.94,w-594,,1.092,1.93
wn-60,115,0.94,w-594,,1.092,1.93
wn-69,139,1.854,w-648,,1.067,2.591
wn-70,140,1.854,w-648,,0.686,2.591
wn-71,143,1.854,w-648,,0.686,2.591
wn-72,145,2.413,w-649,,0.965,2.083
wn-73,152,2.413,w-653,,0.965,2.083
