id,number,base_offset,system_type,terminal_type
tm-1,35,-0,,
tm-6,40,-0,,
tm-7,41,0.305,,
tm-20,5,0,,
tm-21,6,0,,
tm-23,8,0,,
tm-40,80,2.464,,
tm-41,81,2.464,,
tm-42,82,2.464,,
tm-43,83,2.464,,
tm-51,111,0,,
tm-55,115,0,,
tm-56,116,0,,
tm-57,117,0,,
tm-58,118,0,,
tm-59,119,0,,
tm-60,120,0,,
tm-61,121,0,,
tm-62,122,0,,
tm-63,123,0,,
tm-64,124,0,,
tm-65,125,0,,
tm-66,126,0,,
tm-67,127,0,,
tm-68,129,0,,
tm-69,130,0,,
tm-70,131,0,,
tm-71,132,0,,
tm-72,133,0,,
tm-73,134,0,,
tm-74,135,0,,
tm-75,136,0,,
tm-76,137,0,,
tm-77,138,0,,
tm-86,167,0,,
tm-87,168,0,,
tm-88,169,0.305,,
tm-98,194,-0,,
tm-99,195,-0,,
tm-100,196,0.305,,
tm-119,224,-0,,
tm-120,225,-0,,
tm-121,226,0.305,,
tm-125,230,0,,
tm-126,231,0,,
tm-127,232,0,,
tm-128,241,0,,
tm-129,242,0,,
tm-130,243,0,,
tm-131,244,0,,
tm-132,245,0,,
tm-133,246,0,,
tm-134,247,0,,
tm-135,248,0,,
tm-136,249,0,,
tm-137,250,0,,
tm-138,251,0,,
tm-139,255,0,,
tm-140,256,0,,
tm-141,257,0,,
tm-142,258,0,,
tm-143,259,0,,
tm-144,260,0,,
tm-145,261,0,,
tm-146,262,0,,
tm-147,263,0,,
tm-148,264,0,,
tm-149,265,0,,
tm-150,266,0,,
tm-151,267,0,,
tm-152,268,0,,
tm-153,269,0,,
tm-154,270,0,,
tm-155,271,0,,
tm-156,272,0,,
tm-157,273,0,,
tm-158,274,0,,
tm-159,275,0,,
tm-160,276,0,,
tm-161,277,0,,
tm-162,278,0,,
tm-163,279,0,,
tm-179,306,0,,
tm-183,311,-1.524,,
tm-184,312,-1.524,,
tm-185,313,-1.524,,
tm-186,314,-1.524,,
tm-206,334,0,,
tm-207,335,0,,
tm-209,339,0,,
tm-210,340,0,,
tm-225,357,0,,
tm-226,358,0,,
tm-237,376,0,,
tm-238,377,0,,
tm-249,412,0,,
tm-250,413,0,,
tm-261,424,0,,
tm-262,425,0,,
tm-409,282,0,,
tm-410,284,0,,
