id,number,base_offset,host_id,material,width,height,operation
d-7,S32,0,w-414,Aluminum,0,0,
d-24,202A,0,w-835,Aluminum,0,0,
d-26,205A,0,w-831,Aluminum,0,0,
d-27,202B,0,w-67,Aluminum,0,0,
d-28,205B,0,w-80,Aluminum,0,0,
d-47,203B,0,w-1030,Aluminum,0,0,
d-48,203A,0,w-65,Aluminum,0,0,
d-52,204B,0,w-216,Aluminum,0,0,
d-54,201B,0,w-225,Aluminum,0,0,
d-64,S22B,0,w-250,Aluminum,0,0,
d-69,201A,0,w-365,Aluminum,0,0,
d-85,204A,0,w-65,Aluminum,0,0,
d-92,205OPN,0,w-136,,0,0,
d-97,201C,0,w-440,Aluminum,0,0,
d-117,202OPN,0,w-114,,0,0,
d-132,205D,0,w-706,Glass,0,0,
