id,number,base_offset,system_type,terminal_type
tm-249,391,2.856,hvac,
tm-250,392,2.856,hvac,
tm-251,393,3.251,hvac,
tm-252,394,3.251,hvac,
tm-253,395,3.658,hvac,
tm-254,396,3.658,hvac,
tm-255,397,3.658,hvac,
tm-256,398,3.607,hvac,
tm-257,399,3.607,hvac,
tm-258,400,2.856,hvac,
tm-259,401,2.856,hvac,
tm-260,402,2.856,hvac,
tm-261,403,2.856,hvac,
tm-262,404,3.251,hvac,
tm-263,405,3.251,hvac,
tm-264,406,3.251,hvac,
tm-265,407,3.658,hvac,
tm-266,408,3.658,hvac,
tm-267,409,3.658,hvac,
tm-268,410,3.658,hvac,
tm-269,411,3.658,hvac,
tm-274,432,3.658,hvac,
tm-275,433,3.658,hvac,
tm-276,434,3.658,hvac,
tm-277,435,3.658,hvac,
tm-278,443,3.378,hvac,
tm-279,444,3.378,hvac,
tm-280,445,3.378,hvac,
tm-281,446,3.378,hvac,
tm-282,447,3.378,hvac,
tm-283,448,3.378,hvac,
tm-284,449,3.378,hvac,
tm-285,450,3.378,hvac,
tm-287,452,3.162,hvac,
tm-288,453,3.162,hvac,
tm-290,459,3.302,hvac,
tm-291,460,3.302,hvac,
tm-292,461,3.302,hvac,
tm-293,462,3.302,hvac,
tm-295,464,3.045,hvac,
tm-298,469,3.2,hvac,
tm-299,470,3.2,hvac,
tm-300,471,3.2,hvac,
tm-301,474,-0.965,hvac,
tm-302,475,-0.965,hvac,
tm-443,654,3.251,hvac,
tm-444,655,3.251,hvac,
tm-445,656,3.251,hvac,
tm-446,657,3.251,hvac,
tm-447,658,3.251,hvac,
tm-448,659,3.607,hvac,
tm-449,660,3.607,hvac,
tm-450,661,0,hvac,
tm-451,662,0,hvac,
tm-452,663,3.251,hvac,
tm-453,664,3.251,hvac,
tm-454,665,3.251,hvac,
tm-455,666,3.251,hvac,
tm-456,667,3.251,hvac,
tm-457,668,3.251,hvac,
tm-458,669,3.251,hvac,
tm-459,670,0,hvac,
tm-460,671,3.353,hvac,
tm-461,672,3.353,hvac,
tm-462,673,3.353,hvac,
tm-463,674,3.353,hvac,
tm-464,675,3.2,hvac,
tm-465,676,3.202,hvac,
tm-466,677,0,hvac,
tm-467,678,3.393,hvac,
tm-468,679,3.393,hvac,
tm-469,680,3.393,hvac,
tm-470,681,0,hvac,
tm-471,682,0,hvac,
tm-472,683,3.505,hvac,
tm-473,684,3.505,hvac,
tm-474,685,3.505,hvac,
tm-475,686,3.505,hvac,
