id,number,base_offset,start_z,end_z,shape,size_x,size_y,material
bm-137,,0,22.555,22.555,,0.1,0.2,Steel
bm-138,,0,22.555,22.555,,0.1,0.2,Steel
bm-139,,0,22.555,22.555,,0.1,0.2,Steel
bm-140,,0,22.555,22.555,,0.1,0.2,Steel
bm-141,,0,22.555,22.555,,0.1,0.2,Steel
bm-142,,0,22.555,22.555,,0.1,0.2,Steel
bm-143,,0,22.555,22.555,,0.1,0.2,Steel
bm-144,,0,22.555,22.555,,0.1,0.2,Steel
bm-145,,0,22.555,22.555,,0.282,0.467,Steel
bm-146,,0,22.555,22.555,,0.282,0.467,Steel
bm-147,,0,22.555,22.555,,0.1,0.2,Steel
bm-148,,0,13.411,13.411,,0.282,0.467,Steel
bm-149,,0,13.411,13.411,,0.153,0.455,Steel
