id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,start_x,start_y,end_x,end_y,length,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-1555,Copper,,lv-1,,,,4.335991311E-05,12.7904875,12.0316625,0.2174875,12.8063625,12.0475375,0.4365625,12.798425,12.0396,12.798425,12.0396,0.219075,0.2174875,0.4365625,,,,plumbing,,
pi-1556,Copper,,lv-1,,,,1.225388849E-05,12.8190625,10.9902625,0.4492625,12.880975,11.0061375,0.4651375,12.880975,10.9982,12.8190625,10.9982,0.0619125,0.4572,0.4572,,,,plumbing,,
pi-1557,Copper,,lv-1,,,,5.955389805E-05,15.68435335,12.6190375,1.0937875,15.71292835,12.6476125,1.18665625,15.69864085,12.633325,15.69864085,12.633325,0.09286875,1.18665625,1.0937875,,,,plumbing,,
pi-1558,Copper,,lv-1,,,,1.476122259E-05,15.68435335,12.5428375,0.65008125,15.71292835,12.5714125,0.6731,15.69864085,12.557125,15.69864085,12.557125,0.02301875,0.6731,0.65008125,,,,plumbing,,
pi-1559,Copper,,lv-5,,,,1.8833284E-05,6.4119125,12.6190375,-0.41036875,6.4404875,12.6476125,-0.381,6.4262,12.633325,6.4262,12.633325,0.02936875,-0.381,-0.41036875,,,,plumbing,,
pi-1560,Copper,,lv-5,,,,1.979474294E-05,11.5522375,12.7254,-0.8588375,11.5681125,12.8254125,-0.8429625,11.560175,12.7254,11.560175,12.8254125,0.1000125,-0.8509,-0.8509,,,,plumbing,,
pi-1561,Copper,,lv-5,,,,0.0001992042385,10.5394125,12.8317625,-0.8588375,11.5458875,12.8476375,-0.8429625,11.5458875,12.8397,10.5394125,12.8397,1.006475,-0.8509,-0.8509,,,,plumbing,,
pi-1562,Copper,,lv-5,,,,1.853793386E-05,7.8724125,12.7254,-0.8588375,7.8882875,12.8190625,-0.8429625,7.88035,12.7254,7.88035,12.8190625,0.0936625,-0.8509,-0.8509,,,,plumbing,,
pi-1563,Copper,,lv-5,,,,2.293676563E-05,10.5108375,12.709525,-0.6048375,10.5267125,12.8254125,-0.5889625,10.518775,12.709525,10.518775,12.8254125,0.1158875,-0.5969,-0.5969,,,,plumbing,,
pi-1564,Copper,,lv-5,,,,4.335991311E-05,10.5108375,12.8317625,-0.8302625,10.5267125,12.8476375,-0.6111875,10.518775,12.8397,10.518775,12.8397,0.219075,-0.6111875,-0.8302625,,,,plumbing,,
