id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
du-41,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-42,,,21.133,21.184,rect,0.305,0.305,hvac,,
du-43,,,21.133,21.387,rect,0.305,0.305,hvac,,
du-44,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-45,,,21.072,21.387,rect,0.254,0.102,hvac,,
du-46,,,21.072,21.488,rect,0.254,0.102,hvac,,
du-47,,,21.641,21.641,rect,0.254,0.102,hvac,,
du-48,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-62,,,21.133,21.184,rect,0.305,0.305,hvac,,
du-63,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-64,,,21.133,21.184,rect,0.305,0.305,hvac,,
du-65,,,21.641,21.641,rect,0.305,0.305,hvac,,
du-66,,,21.133,21.184,rect,0.305,0.305,hvac,,
du-67,,,21.641,21.641,rect,0.305,0.305,hvac,,
