id,number,base_offset,host_id,material,width,height,operation
d-5,S15,0,w-16,Aluminum,0,0,
d-10,S35,0,w-415,Aluminum,0,0,
d-21,507B,0,w-616,Aluminum,0,0,
d-33,506B,0,w-834,Aluminum,0,0,
d-38,506D,0,w-86,Aluminum,0,0,
d-51,504B,0,w-73,Aluminum,0,0,
d-67,S25,0,w-250,Aluminum,0,0,
d-74,502A,0,w-365,Aluminum,0,0,
d-80,507C,0,w-1032,Aluminum,0,0,
d-82,502C,0.305,w-320,Glass,0,0,
d-83,502B,0.305,w-322,Glass,0,0,
d-84,507A,0.305,w-335,Glass,0,0,
d-86,406,0,w-362,Aluminum,0,0,
d-91,506OPN,0,w-194,,0,0,
d-100,504C,0,w-1035,Aluminum,0,0,
d-103,502D,0,w-476,Aluminum,0,0,
d-105,501A,0,w-332,Aluminum,0,0,
d-106,501B,0,w-512,Aluminum,0,0,
d-133,504A,0,w-706,Glass,0,0,
d-140,506A,0,w-706,Glass,0,0,
