id,number,base_offset,host_id,material,width,height
wn-7,99,0.914,w-706,Glass,0,0
wn-8,101,0.914,w-706,Glass,0,0
wn-9,102,0.914,w-706,Glass,0,0
wn-10,104,0.914,w-706,Glass,0,0
wn-11,106,0.914,w-706,Glass,0,0
wn-12,107,0.914,w-706,Glass,0,0
wn-25,130,0.914,w-39,Glass,0,0
wn-26,131,0.914,w-39,Glass,0,0
wn-27,135,0.914,w-39,Glass,0,0
wn-33,158,0.686,w-309,Glass,0,0
wn-34,159,0.686,w-309,Glass,0,0
wn-35,160,0.686,w-320,Glass,0,0
wn-36,161,0.686,w-324,Glass,0,0
wn-37,167,0.686,w-312,Glass,0,0
wn-38,168,0.686,w-312,Glass,0,0
wn-39,173,0.686,w-314,Glass,0,0
wn-40,174,0.686,w-314,Glass,0,0
wn-78,157,0.87,w-656,,0.546,1.206
wn-79,162,0.87,w-656,,0.546,1.206
wn-80,163,0.87,w-656,,0.546,1.206
wn-81,164,0.87,w-656,,0.546,1.206
