id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
c-42,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-43,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-51,,0,lv-11,0,Gypsum Wall Board,rect,0.61,0.813
c-52,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-53,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-54,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-55,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-56,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-57,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-58,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-59,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-60,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.559,0.61
c-61,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
c-110,,0,lv-11,-0.152,Gypsum Wall Board,rect,0.61,0.61
