id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-19,,,17.848,17.212,round,0.102,0.102,plumbing,,
pi-74,,,18.39,18.39,round,0.013,0.013,plumbing,,
pi-75,,,18.39,18.39,round,0.013,0.013,plumbing,,
pi-76,,,19.126,19.013,round,0.013,0.013,plumbing,,
pi-77,,,18.999,18.999,round,0.013,0.013,plumbing,,
pi-78,,,18.985,18.556,round,0.013,0.013,plumbing,,
pi-79,,,18.542,18.542,round,0.013,0.013,plumbing,,
pi-80,,,18.542,18.542,round,0.013,0.013,plumbing,,
pi-81,,,18.528,18.353,round,0.013,0.013,plumbing,,
pi-82,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-83,,,18.359,18.375,round,0.013,0.013,plumbing,,
pi-84,,,18.39,18.39,round,0.013,0.013,plumbing,,
pi-85,,,18.339,18.339,round,0.013,0.013,plumbing,,
pi-86,,,18.39,18.39,round,0.013,0.013,plumbing,,
pi-87,,,18.353,18.375,round,0.013,0.013,plumbing,,
pi-88,,,18.136,18.136,round,0.051,0.051,plumbing,,
pi-89,,,17.147,18.058,round,0.051,0.051,plumbing,,
pi-90,,,18.136,18.136,round,0.051,0.051,plumbing,,
pi-91,,,17.069,17.069,round,0.102,0.102,plumbing,,
pi-377,,,17.751,20.98,round,0.051,0.051,plumbing,,
pi-378,,,17.634,17.281,round,0.051,0.051,plumbing,,
pi-1029,,,18.288,18.288,round,0.013,0.013,plumbing,,
pi-1030,,,18.136,18.136,round,0.013,0.013,plumbing,,
pi-1031,,,18.15,18.267,round,0.013,0.013,plumbing,,
pi-1391,,,19.126,19.013,round,0.013,0.013,plumbing,,
pi-1392,,,18.999,18.999,round,0.013,0.013,plumbing,,
pi-1393,,,18.985,18.881,round,0.013,0.013,plumbing,,
pi-1394,,,18.593,18.593,round,0.013,0.013,plumbing,,
pi-1395,,,18.593,18.593,round,0.013,0.013,plumbing,,
pi-1396,,,18.579,18.302,round,0.013,0.013,plumbing,,
pi-1397,,,18.288,18.288,round,0.013,0.013,plumbing,,
pi-1398,,,18.39,18.39,round,0.013,0.013,plumbing,,
pi-1399,,,18.375,18.302,round,0.013,0.013,plumbing,,
pi-1400,,,18.288,18.288,round,0.013,0.013,plumbing,,
pi-1401,,,18.39,18.39,round,0.013,0.013,plumbing,,
pi-1402,,,18.375,18.309,round,0.013,0.013,plumbing,,
pi-1403,,,18.136,18.136,round,0.013,0.013,plumbing,,
pi-1404,,,18.136,18.136,round,0.013,0.013,plumbing,,
pi-1405,,,18.136,18.136,round,0.013,0.013,plumbing,,
pi-2804,,,18.605,18.512,round,0.025,0.025,plumbing,,
pi-2805,,,18.783,18.826,round,0.025,0.025,plumbing,,
pi-2806,,,18.847,18.847,round,0.025,0.025,plumbing,,
pi-2807,,,18.491,18.491,round,0.025,0.025,plumbing,,
pi-2808,,,18.847,18.847,round,0.025,0.025,plumbing,,
pi-2809,,,18.813,18.607,round,0.013,0.013,plumbing,,
