id,number,base_offset,system_type,equipment_type
eq-20,HRU409,3.095,hvac,
eq-21,HRU407,3.095,hvac,
eq-22,HRU403,3.095,hvac,
eq-23,HRU401A,3.451,hvac,
eq-24,HRU401B,3.502,hvac,
eq-25,HRU404,3.502,hvac,
eq-26,HRU408,2.994,hvac,
eq-27,HRU410,3.146,hvac,
