id,number,base_offset,material,length,width,thickness
if-1,,0,"Concrete, Cast-in-Place gray",0,0,
if-2,,0,"Concrete, Cast-in-Place gray",0,0,
if-3,,0,"Concrete, Cast-in-Place gray",0,0,
if-4,,0,"Concrete, Cast-in-Place gray",0,0,
if-5,,0,"Concrete, Cast-in-Place gray",0,0,
if-6,,0,"Concrete, Cast-in-Place gray",0,0,
if-7,,0,"Concrete, Cast-in-Place gray",0,0,
if-8,,0,"Concrete, Cast-in-Place gray",0,0,
if-9,,0,"Concrete, Cast-in-Place gray",0,0,
if-10,,0,"Concrete, Cast-in-Place gray",0,0,
if-11,,0,"Concrete, Cast-in-Place gray",0,0,
if-12,,0,"Concrete, Cast-in-Place gray",0,0,
if-13,,0,"Concrete, Cast-in-Place gray",0,0,
if-14,,0,"Concrete, Cast-in-Place gray",0,0,
if-15,,0,"Concrete, Cast-in-Place gray",0,0,
if-16,,0,"Concrete, Cast-in-Place gray",0,0,
if-17,,0,"Concrete, Cast-in-Place gray",0,0,
if-40,,0,"Concrete, Cast-in-Place gray",0,0,
if-41,,0,"Concrete, Cast-in-Place gray",0,0,
if-42,,0,"Concrete, Cast-in-Place gray",0,0,
if-43,,0,"Concrete, Cast-in-Place gray",0,0,
if-44,,0,"Concrete, Cast-in-Place gray",0,0,
if-45,,0,"Concrete, Cast-in-Place gray",0,0,
if-46,,0,"Concrete, Cast-in-Place gray",0,0,
if-47,,0,"Concrete, Cast-in-Place gray",0,0,
if-48,,0,"Concrete, Cast-in-Place gray",0,0,
if-49,,0,"Concrete, Cast-in-Place gray",0,0,
if-50,,0,"Concrete, Cast-in-Place gray",0,0,
if-51,,0,"Concrete, Cast-in-Place gray",0,0,
if-52,,0,"Concrete, Cast-in-Place gray",0,0,
if-53,,0,"Concrete, Cast-in-Place gray",0,0,
if-54,,0,"Concrete, Cast-in-Place gray",0,0,
if-55,,0,"Concrete, Cast-in-Place gray",0,0,
if-56,,0,"Concrete, Cast-in-Place gray",0,0,
if-57,,0,"Concrete, Cast-in-Place gray",0,0,
if-58,,0,"Concrete, Cast-in-Place gray",0,0,
if-77,,0,"Concrete, Cast-in-Place gray",0,0,
