id,number,base_offset,top_level_id,top_offset,material
sw-17,,,lv-1,0,"Concrete, Cast-in-Place gray"
sw-18,,,lv-1,0,"Concrete, Cast-in-Place gray"
sw-19,,,lv-1,0,"Concrete, Cast-in-Place gray"
sw-21,,,lv-1,-1.054,"Concrete, Cast-in-Place gray"
sw-22,,,lv-1,-1.054,"Concrete, Cast-in-Place gray"
sw-28,,,lv-1,0,"Concrete, Cast-in-Place gray"
sw-29,,,lv-11,0,"Concrete, Cast-in-Place gray"
sw-30,,,lv-11,0,"Concrete, Cast-in-Place gray"
sw-31,,,lv-10,0,"Concrete, Cast-in-Place gray"
sw-32,,,lv-10,0,"Concrete, Cast-in-Place gray"
sw-33,,,lv-1,0,"Concrete, Cast-in-Place gray"
sw-34,,,lv-1,0,"Concrete, Cast-in-Place gray"
sw-35,,,lv-10,0,"Concrete, Cast-in-Place gray"
sw-36,,,lv-1,-1.054,"Concrete, Cast-in-Place gray"
sw-39,,,lv-10,0,"Concrete, Cast-in-Place gray"
sw-41,,,lv-11,0,"Concrete, Cast-in-Place gray"
sw-42,,,lv-10,0,"Concrete, Cast-in-Place gray"
sw-50,,,lv-1,0,"Concrete, Cast-in-Place gray"
