id,number,base_offset,top_level_id,top_offset,material,shape,size_x,size_y
sc-1,,0,lv-11,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-2,,0,lv-10,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-3,,0,lv-10,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-4,,0,lv-1,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-5,,0,lv-10,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-6,,0,lv-10,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-7,,0,lv-10,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-8,,0,lv-10,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-9,,0,lv-11,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-10,,0,lv-11,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-11,,0,lv-11,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-50,,0,lv-10,0,"Concrete, Cast-in-Place gray",,0.61,0.61
sc-51,,0,lv-10,0,"Concrete, Cast-in-Place gray",,0.61,0.61
