id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type
co-36,,,17.17,17.17,,,,
co-48,,,17.17,17.17,,,,
co-51,,,17.17,17.17,,,,
co-54,,,17.17,17.17,,,,
co-119,,,14.757,13.602,,,,
co-127,,,13.5,14.757,,,,
co-219,,,14.757,13.399,,,,
co-224,,,14.719,13.5,,,,
co-234,,,17.018,17.018,,,,
co-235,,,17.018,17.018,,,,
co-236,,,17.018,17.018,,,,
co-237,,,17.018,17.018,,,,
co-238,,,17.018,17.018,,,,
co-239,,,17.018,17.018,,,,
co-240,,,17.018,17.018,,,,
co-241,,,17.018,17.018,,,,
co-242,,,17.018,17.018,,,,
co-243,,,17.018,17.018,,,,
co-244,,,17.018,17.018,,,,
co-245,,,17.018,17.018,,,,
co-246,,,16.624,13.564,,,,
co-247,,,16.624,13.564,,,,
co-248,,,16.624,13.564,,,,
co-249,,,16.624,13.564,,,,
co-266,,,17.018,17.018,,,,
co-268,,,17.018,17.018,,,,
co-269,,,17.018,17.018,,,,
co-270,,,16.624,13.564,,,,
co-286,,,14.757,14.561,,,,
co-505,,,13.5,13.836,,,,
co-506,,,14.297,14.1,,,,
