id,number,base_offset,mesh_file,material,height_offset
cl-1,,,,composite,2.6
cl-2,,,,composite,2.6
cl-3,,,,composite,2.6
cl-4,,,,composite,2.6
cl-5,,,,steel,2.6
cl-6,,,,steel,2.6
cl-7,,,mesh/cl-7.glb,composite,2.6
cl-8,,,,composite,2.6
cl-9,,,,composite,2.6
cl-10,,,,composite,2.6
cl-11,,,,composite,2.6
cl-12,,,,composite,2.6
cl-13,,,,composite,2.6
cl-14,,,,composite,2.6
cl-15,,,,composite,2.6
cl-16,,,,composite,2.6
cl-17,,,,composite,2.6
cl-18,,,,composite,2.6
cl-19,,,,composite,2.6
