id,number,base_offset,mesh_file,top_level_id,top_offset,material,u_grid_count,v_grid_count,u_spacing,v_spacing,panel_material
cw-10,,0,,lv-2,0,composite,3,9,,,Glass
cw-11,,0,,lv-2,0,composite,2,2,0.241,0.33,Glass
cw-15,,0,,lv-2,0,composite,2,2,0.241,0.33,Glass
cw-17,,0,,lv-2,0,composite,2,2,0.241,0.33,Glass
cw-34,,0,,lv-2,0,composite,3,9,,,Glass
