id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-2862,,,0.181,-2.032,round,0.152,0.152,plumbing,,
pi-2880,,,0.24,0.471,round,0.152,0.152,plumbing,,
pi-2881,,,1.715,1.734,round,0.152,0.152,plumbing,,
pi-2883,,,1.631,-1.313,round,0.152,0.152,plumbing,,
pi-2884,,,17.228,17.243,round,0.152,0.152,plumbing,,
pi-2885,,,17.506,17.327,round,0.152,0.152,plumbing,,
pi-2886,,,2.123,17.159,round,0.152,0.152,plumbing,,
pi-2887,,,1.972,1.986,round,0.152,0.152,plumbing,,
pi-2888,,,-0.745,1.888,round,0.152,0.152,plumbing,,
pi-2889,,,17.143,2.07,round,0.152,0.152,plumbing,,
pi-2890,,,-0.804,-0.948,round,0.152,0.152,plumbing,,
pi-2891,,,-1.008,-1.498,round,0.152,0.152,plumbing,,
pi-2892,,,2.094,1.971,round,0.152,0.152,plumbing,,
pi-2893,,,1.942,-1.708,round,0.152,0.152,plumbing,,
pi-2894,,,17.294,17.244,round,0.152,0.152,plumbing,,
pi-2895,,,17.506,17.378,round,0.152,0.152,plumbing,,
pi-2898,,,-1.582,-1.582,round,0.152,0.152,plumbing,,
pi-2899,,,-1.397,-1.639,round,0.152,0.152,plumbing,,
pi-2904,,,-2.272,-2.329,round,0.152,0.152,plumbing,,
pi-2905,,,-2.354,-2.608,round,0.152,0.152,plumbing,,
pi-2906,,,-2.688,-2.633,round,0.152,0.152,plumbing,,
pi-2907,,,-3.228,-2.736,round,0.152,0.152,plumbing,,
pi-2908,,,-1.699,-2.18,round,0.152,0.152,plumbing,,
pi-2909,,,-3.426,-3.425,round,0.203,0.203,plumbing,,
pi-2910,,,-2.27,-2.268,round,0.152,0.152,plumbing,,
pi-2911,,,-3.421,-3.421,round,0.203,0.203,plumbing,,
pi-2912,,,-3.792,-3.792,round,0.203,0.203,plumbing,,
pi-2913,,,-4.059,-4.52,round,0.203,0.203,plumbing,,
pi-2914,,,-3.795,-3.802,round,0.203,0.203,plumbing,,
pi-2915,,,-3.784,-3.784,round,0.203,0.203,plumbing,,
pi-2916,,,-3.779,-3.717,round,0.203,0.203,plumbing,,
pi-2921,,,-2.235,-2.235,round,0.152,0.152,plumbing,,
pi-2922,,,-2.936,-2.438,round,0.152,0.152,plumbing,,
pi-2923,,,-4.782,-4.942,round,0.203,0.203,plumbing,,
pi-2924,,,-5.49,-5.703,round,0.203,0.203,plumbing,,
pi-2925,,,-5.205,-5.233,round,0.203,0.203,plumbing,,
pi-2926,,,0.53,16.962,round,0.152,0.152,plumbing,,
pi-2927,,,17.167,17.194,round,0.152,0.152,plumbing,,
pi-2928,,,17.506,17.448,round,0.152,0.152,plumbing,,
pi-2929,,,17.243,17.212,round,0.152,0.152,plumbing,,
pi-2930,,,17.209,17.199,round,0.152,0.152,plumbing,,
pi-2931,,,17.506,17.406,round,0.152,0.152,plumbing,,
pi-2932,,,17.201,17.199,round,0.152,0.152,plumbing,,
pi-2933,,,17.166,17.162,round,0.152,0.152,plumbing,,
pi-2934,,,17.209,17.206,round,0.152,0.152,plumbing,,
pi-2935,,,17.201,17.163,round,0.152,0.152,plumbing,,
pi-2936,,,1.818,16.93,round,0.152,0.152,plumbing,,
pi-2937,,,17.135,17.144,round,0.152,0.152,plumbing,,
pi-2938,,,17.146,17.158,round,0.152,0.152,plumbing,,
pi-2941,,,17.506,17.416,round,0.152,0.152,plumbing,,
pi-2942,,,17.211,17.17,round,0.152,0.152,plumbing,,
pi-2945,,,-3.533,-3.15,round,0.203,0.203,plumbing,,
pi-2946,,,-3.79,-3.789,round,0.203,0.203,plumbing,,
pi-2952,,,-1.337,16.861,round,0.152,0.152,plumbing,,
pi-2953,,,17.066,17.067,round,0.152,0.152,plumbing,,
pi-2954,,,17.07,17.072,round,0.152,0.152,plumbing,,
pi-2955,,,17.506,17.367,round,0.152,0.152,plumbing,,
pi-2956,,,17.162,17.141,round,0.152,0.152,plumbing,,
pi-2957,,,17.139,17.076,round,0.152,0.152,plumbing,,
pi-2958,,,17.506,17.294,round,0.152,0.152,plumbing,,
pi-2959,,,17.089,17.076,round,0.152,0.152,plumbing,,
pi-2964,,,17.506,17.348,round,0.152,0.152,plumbing,,
pi-2965,,,17.143,17.113,round,0.152,0.152,plumbing,,
pi-2966,,,17.11,17.103,round,0.152,0.152,plumbing,,
