id,number,base_offset,host_id,material,width,height,operation
d-4,S13,0,w-16,Aluminum,0,0,single_swing
d-9,S33,0,w-414,Aluminum,0,0,single_swing
d-20,301B,0,w-35,Aluminum,0,0,single_swing
d-22,303A,0,w-836,Aluminum,0,0,single_swing
d-23,303B,0,w-74,Aluminum,0,0,single_swing
d-29,306B,0,w-838,Aluminum,0,0,single_swing
d-31,307A,0,w-832,Aluminum,0,0,single_swing
d-34,307C,0,w-84,Aluminum,0,0,single_swing
d-35,306A,0,w-75,Aluminum,0,0,single_swing
d-41,308A,0.254,w-76,Aluminum,0,0,single_swing
d-42,309A,0,w-204,Aluminum,0,0,single_swing
d-49,304A,0,w-71,Aluminum,0,0,single_swing
d-53,204,0,w-223,Aluminum,0,0,single_swing
d-66,S23,0,w-250,Aluminum,0,0,single_swing
d-72,302A,0,w-365,Aluminum,0,0,single_swing
d-78,308B,0,w-282,Aluminum,0,0,single_swing
d-79,309B,0,w-1029,Aluminum,0,0,single_swing
d-93,307OPN,0,w-170,,0,0,
d-98,304B,0,w-1033,Aluminum,0,0,single_swing
d-101,302B,0,w-468,Aluminum,0,0,single_swing
d-107,301C,0,w-519,Aluminum,0,0,single_swing
d-118,303OPN,0,w-103,,0,0,
d-136,301A,-0,w-39,Glass,0,0,single_swing
d-137,307D,0,w-706,Glass,0,0,single_swing
