id,number,base_offset,name
sp-20,301,,Office Unit 301
sp-21,302,,Corridor 302
sp-22,303,,Live/Work Unit 303
sp-23,304,,Studio Unit 304
sp-24,306,,Live/Work Unit 306
sp-25,307,,Live/Work Unit 307
sp-26,308,,Live/Work Unit 308
sp-27,309,,Live/Work Unit 309
