id,number,base_offset,name
sp-9,108,,Exhibit 2 108
sp-11,110,,Food Prep 110
sp-12,111,,Kid Zone 111
sp-13,112,,Restroom 112
sp-14,113,,Restroom 113
sp-15,114,,Elevator 114
sp-34,133,,Mechanic 133
sp-37,136,,Restroom 136
sp-38,137,,Restroom 137
sp-39,138,,Elevator 138
sp-40,139,,Indoor Cafe Seats 139
sp-49,148,,Outdoor Cafe Seats 148
sp-59,158,,Hallway 158
