id,number,base_offset,host_id,material,width,height
wn-5,192,0.914,w-8,Glass,3.048,3.048
wn-6,193,0.914,w-8,Glass,3.048,3.048
wn-7,194,0.914,w-8,Glass,3.048,3.048
wn-8,195,0.914,w-8,Glass,3.048,3.048
wn-18,205,0.914,w-8,Glass,1.016,2.54
wn-22,209,3.658,w-8,Glass,0.66,1.067
wn-24,211,0.914,w-10,Glass,2.54,2.032
wn-25,212,0.914,w-10,Glass,2.54,2.032
wn-26,213,0.914,w-10,Glass,2.54,2.032
wn-27,214,0.914,w-9,Glass,1.016,2.54
wn-28,215,0.914,w-9,Glass,1.016,2.54
wn-29,216,0.914,w-9,Glass,1.016,2.54
wn-30,217,0.914,w-9,Glass,1.016,2.54
wn-51,238,0.305,w-25,Glass,5.588,3.81
wn-54,241,0.914,w-9,Glass,1.016,2.54
