id,number,base_offset,top_level_id,top_offset,material
w-8,,0,lv-5,0,Metal Stud Layer
w-9,,0,lv-5,0,Metal Stud Layer
w-10,,0,lv-5,0,Metal Stud Layer
w-25,,0,lv-5,0,"Softwood, Lumber"
w-26,,0,lv-5,0,"Softwood, Lumber"
w-27,,0,lv-5,0,Glass
w-31,,0,lv-5,0,"Softwood, Lumber"
w-32,,0,lv-5,0,"Softwood, Lumber"
w-33,,0,lv-5,0,"Softwood, Lumber"
w-34,,0,lv-5,0,"Softwood, Lumber"
w-35,,0,lv-5,0,"Softwood, Lumber"
w-36,,0,lv-5,0,"Softwood, Lumber"
w-37,,0,lv-5,0,"Softwood, Lumber"
w-38,,0,lv-5,0,"Softwood, Lumber"
w-39,,0,lv-5,0,"Softwood, Lumber"
