id,number,base_offset,host_id,position,material,width,height
wn-6,188,0.914,w-18,0.879,glass,3.048,3.048
wn-7,189,0.914,w-18,0.714,glass,3.048,3.048
wn-8,190,0.914,w-18,0.548,glass,3.048,3.048
wn-9,191,0.914,w-18,0.383,glass,3.048,3.048
wn-10,204,0.914,w-18,0.17,glass,1.016,2.54
wn-11,208,3.658,w-18,0.05,glass,0.66,1.067
wn-12,218,0.914,w-19,0.611,glass,2.54,2.032
wn-13,219,0.914,w-19,0.365,glass,2.54,2.032
wn-14,220,0.914,w-19,0.17,glass,2.54,2.032
wn-15,221,0.914,w-20,0.736,glass,1.016,2.54
wn-16,222,0.914,w-20,0.544,glass,1.016,2.54
wn-17,223,0.914,w-20,0.238,glass,1.016,2.54
wn-18,239,0.305,w-30,0.762,glass,5.588,3.81
wn-19,240,0.914,w-20,0.111,glass,1.016,2.54
wn-20,244,0.914,w-20,0.448,glass,1.016,2.54
