id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-177,,,10.163,26.327,round,0.102,0.102,plumbing,,
pi-178,,,10.468,26.327,round,0.102,0.102,plumbing,,
pi-179,,,8.639,26.327,round,0.102,0.102,plumbing,,
pi-180,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-181,,,9.751,10.033,round,0.025,0.025,plumbing,,
pi-182,,,9.751,9.918,round,0.025,0.025,plumbing,,
pi-183,,,10.058,10.058,round,0.051,0.051,plumbing,,
pi-184,,,9.751,9.918,round,0.025,0.025,plumbing,,
pi-185,,,10.058,10.058,round,0.051,0.051,plumbing,,
pi-186,,,10.058,10.058,round,0.051,0.051,plumbing,,
pi-187,,,10.058,10.058,round,0.051,0.051,plumbing,,
pi-188,,,9.796,9.918,round,0.025,0.025,plumbing,,
pi-189,,,10.058,10.058,round,0.051,0.051,plumbing,,
pi-190,,,10.058,10.058,round,0.051,0.051,plumbing,,
pi-191,,,9.808,10.007,round,0.051,0.051,plumbing,,
pi-192,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-193,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-194,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-195,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-196,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-197,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-198,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-199,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-200,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-201,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-202,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-203,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-204,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-205,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-206,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-207,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-208,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-209,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-210,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-211,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-212,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-213,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-214,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-215,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-216,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-217,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-218,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-219,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-220,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-221,,,9.309,9.309,round,0.013,0.013,plumbing,,
pi-222,,,9.617,9.324,round,0.013,0.013,plumbing,,
pi-223,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-224,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-225,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-226,,,9.195,9.195,round,0.013,0.013,plumbing,,
pi-227,,,9.21,9.617,round,0.013,0.013,plumbing,,
pi-228,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-229,,,9.195,9.195,round,0.013,0.013,plumbing,,
pi-230,,,9.617,9.21,round,0.013,0.013,plumbing,,
pi-231,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-232,,,9.195,9.195,round,0.013,0.013,plumbing,,
pi-233,,,9.617,9.21,round,0.013,0.013,plumbing,,
pi-234,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-235,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-236,,,9.757,9.757,round,0.051,0.051,plumbing,,
pi-237,,,9.195,9.195,round,0.013,0.013,plumbing,,
pi-238,,,9.21,9.617,round,0.013,0.013,plumbing,,
