id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-6,,,9.72,9.287,round,0.102,0.102,plumbing,,
pi-7,,,9.72,9.287,round,0.102,0.102,plumbing,,
pi-8,,,9.72,9.338,round,0.102,0.102,plumbing,,
pi-9,,,9.72,9.337,round,0.102,0.102,plumbing,,
pi-10,,,9.72,9.674,round,0.102,0.102,plumbing,,
pi-11,,,9.72,9.587,round,0.102,0.102,plumbing,,
pi-60,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-61,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-62,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-63,,,13.17,13.17,round,0.025,0.025,plumbing,,
pi-64,,,13.17,13.17,round,0.025,0.025,plumbing,,
pi-65,,,13.17,13.17,round,0.013,0.013,plumbing,,
pi-66,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-67,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-68,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-69,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-70,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-71,,,13.17,13.17,round,0.025,0.025,plumbing,,
pi-72,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-73,,,13.284,13.284,round,0.025,0.025,plumbing,,
pi-98,,,9.531,9.531,round,0.102,0.102,plumbing,,
pi-99,,,9.388,9.336,round,0.102,0.102,plumbing,,
pi-100,,,9.165,8.945,round,0.102,0.102,plumbing,,
pi-101,,,9.416,9.332,round,0.102,0.102,plumbing,,
pi-102,,,10.008,10.008,round,0.051,0.051,plumbing,,
pi-103,,,10.008,10.008,round,0.051,0.051,plumbing,,
pi-104,,,9.273,9.93,round,0.051,0.051,plumbing,,
pi-105,,,9.195,9.195,round,0.051,0.051,plumbing,,
pi-110,,,9.161,9.009,round,0.102,0.102,plumbing,,
pi-111,,,10.008,10.008,round,0.051,0.051,plumbing,,
pi-112,,,10.225,10.63,round,0.013,0.013,plumbing,,
pi-113,,,10.312,10.312,round,0.013,0.013,plumbing,,
pi-114,,,10.327,10.63,round,0.013,0.013,plumbing,,
pi-115,,,10.262,10.262,round,0.013,0.013,plumbing,,
pi-116,,,10.262,10.262,round,0.013,0.013,plumbing,,
pi-117,,,10.262,10.262,round,0.013,0.013,plumbing,,
pi-118,,,10.998,10.885,round,0.013,0.013,plumbing,,
pi-119,,,10.262,10.262,round,0.013,0.013,plumbing,,
pi-120,,,10.998,10.885,round,0.013,0.013,plumbing,,
pi-121,,,10.871,10.871,round,0.013,0.013,plumbing,,
pi-122,,,10.276,10.349,round,0.013,0.013,plumbing,,
pi-123,,,10.857,10.722,round,0.013,0.013,plumbing,,
pi-124,,,10.363,10.363,round,0.013,0.013,plumbing,,
pi-125,,,12.344,12.344,round,0.013,0.013,plumbing,,
pi-126,,,10.377,12.33,round,0.013,0.013,plumbing,,
pi-127,,,12.344,12.344,round,0.013,0.013,plumbing,,
pi-128,,,12.344,12.344,round,0.013,0.013,plumbing,,
pi-129,,,10.333,12.33,round,0.013,0.013,plumbing,,
pi-130,,,10.262,10.262,round,0.013,0.013,plumbing,,
pi-131,,,10.211,10.211,round,0.013,0.013,plumbing,,
pi-132,,,10.247,10.225,round,0.013,0.013,plumbing,,
pi-133,,,10.211,10.211,round,0.013,0.013,plumbing,,
pi-134,,,10.008,10.008,round,0.013,0.013,plumbing,,
pi-135,,,10.19,10.022,round,0.013,0.013,plumbing,,
pi-136,,,10.211,10.211,round,0.013,0.013,plumbing,,
pi-137,,,10.312,10.312,round,0.013,0.013,plumbing,,
pi-138,,,10.312,10.312,round,0.013,0.013,plumbing,,
pi-139,,,10.312,10.312,round,0.013,0.013,plumbing,,
pi-140,,,10.276,10.292,round,0.013,0.013,plumbing,,
pi-141,,,10.262,10.262,round,0.013,0.013,plumbing,,
pi-142,,,10.262,10.262,round,0.013,0.013,plumbing,,
pi-143,,,10.262,10.262,round,0.013,0.013,plumbing,,
pi-144,,,10.719,10.719,round,0.013,0.013,plumbing,,
pi-145,,,10.312,10.312,round,0.013,0.013,plumbing,,
pi-146,,,10.333,10.705,round,0.013,0.013,plumbing,,
pi-147,,,10.719,10.719,round,0.013,0.013,plumbing,,
pi-148,,,10.312,10.312,round,0.013,0.013,plumbing,,
pi-149,,,10.304,10.705,round,0.013,0.013,plumbing,,
pi-150,,,10.276,10.294,round,0.013,0.013,plumbing,,
