id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type
co-1,,,5.398,6.629,,,,
co-2,,,5.004,5.004,,,,
co-3,,,5.004,5.004,,,,
co-8,,,5.004,5.004,,,,
co-9,,,5.004,5.004,,,,
co-10,,,5.131,5.131,,,,
co-11,,,4.013,4.572,,,,
co-12,,,5.131,5.131,,,,
co-13,,,5.131,5.131,,,,
co-14,,,4.013,4.737,,,,
co-15,,,5.004,5.004,,,,
co-16,,,4.61,4.013,,,,
co-17,,,5.004,5.004,,,,
co-18,,,4.013,4.61,,,,
co-95,,,5.131,5.131,,,,
co-96,,,5.131,5.131,,,,
co-98,,,5.004,5.004,,,,
co-181,,,4.75,4.75,,,,
co-182,,,4.88,4.88,,,,
co-183,,,4.75,4.75,,,,
co-184,,,4.88,4.88,,,,
co-185,,,4.88,4.88,,,,
co-186,,,4.75,4.75,,,,
co-187,,,5.078,4.932,,,,
co-188,,,4.802,4.951,,,,
co-189,,,5.078,4.932,,,,
co-190,,,4.951,4.802,,,,
co-191,,,4.75,4.75,,,,
co-192,,,5.078,4.932,,,,
co-193,,,4.951,4.802,,,,
co-194,,,4.951,4.802,,,,
co-265,,,4.61,4.013,,,,
co-284,,,5.131,5.131,,,,
co-499,,,4.966,4.966,,,,
co-500,,,5.055,5.042,,,,
co-507,,,5.004,5.004,,,,
co-508,,,5.07,5.065,,,,
co-509,,,5.131,5.131,,,,
co-510,,,5.065,5.07,,,,
