id,number,base_offset,material,function,thickness
ss-13,,0,"Concrete, Cast-in-Place gray",floor,0.152
ss-15,,0,"Concrete, Cast-in-Place gray",floor,0.152
ss-16,,0,"Concrete, Cast-in-Place gray",floor,0.152
ss-17,,0,"Concrete, Cast-in-Place gray",floor,0.152
