id,number,base_offset,host_id,position,material,width,height
wn-50,200,0.914,w-67,0.879,glass,3.048,3.048
wn-51,201,0.914,w-67,0.714,glass,3.048,3.048
wn-52,202,0.914,w-67,0.548,glass,3.048,3.048
wn-53,203,0.914,w-67,0.383,glass,3.048,3.048
wn-54,207,0.914,w-67,0.17,glass,1.016,2.54
wn-55,230,0.914,w-69,0.778,glass,2.54,2.032
wn-56,231,0.914,w-69,0.362,glass,2.54,2.032
wn-57,232,0.914,w-68,0.403,glass,1.016,2.54
wn-58,233,0.914,w-68,0.695,glass,1.016,2.54
wn-59,234,0.914,w-68,0.841,glass,1.016,2.54
