id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-706,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-707,,,23.467,23.749,round,0.025,0.025,plumbing,,
pi-708,,,23.467,23.634,round,0.025,0.025,plumbing,,
pi-709,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-710,,,23.467,23.634,round,0.025,0.025,plumbing,,
pi-711,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-712,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-713,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-714,,,23.512,23.634,round,0.025,0.025,plumbing,,
pi-715,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-716,,,23.774,23.774,round,0.051,0.051,plumbing,,
pi-717,,,23.524,23.723,round,0.051,0.051,plumbing,,
pi-718,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-719,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-720,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-721,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-722,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-723,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-724,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-725,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-726,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-727,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-728,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-729,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-730,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-731,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-732,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-733,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-734,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-735,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-736,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-737,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-738,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-739,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-740,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-741,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-742,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-743,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-744,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-745,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-746,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-747,,,23.025,23.025,round,0.013,0.013,plumbing,,
pi-748,,,23.333,23.04,round,0.013,0.013,plumbing,,
pi-749,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-750,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-751,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-752,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-753,,,22.926,23.333,round,0.013,0.013,plumbing,,
pi-754,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-755,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-756,,,23.333,22.926,round,0.013,0.013,plumbing,,
pi-757,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-758,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-759,,,23.333,22.926,round,0.013,0.013,plumbing,,
pi-760,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-761,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-762,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-763,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-764,,,22.926,23.333,round,0.013,0.013,plumbing,,
pi-765,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-766,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-767,,,23.333,22.926,round,0.013,0.013,plumbing,,
pi-768,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-769,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-770,,,23.333,22.926,round,0.013,0.013,plumbing,,
pi-771,,,23.473,23.473,round,0.051,0.051,plumbing,,
pi-772,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-773,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-774,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-775,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-776,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-777,,,24.064,22.926,round,0.013,0.013,plumbing,,
pi-778,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-779,,,23.99,22.926,round,0.013,0.013,plumbing,,
pi-780,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-781,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-782,,,22.926,23.99,round,0.013,0.013,plumbing,,
pi-783,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-784,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-785,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-786,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-787,,,24.064,22.926,round,0.013,0.013,plumbing,,
pi-788,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-789,,,22.926,23.99,round,0.013,0.013,plumbing,,
pi-790,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-791,,,22.911,22.911,round,0.013,0.013,plumbing,,
pi-792,,,22.926,23.99,round,0.013,0.013,plumbing,,
pi-793,,,24.079,24.079,round,0.025,0.025,plumbing,,
pi-794,,,22.85,22.301,round,0.051,0.051,plumbing,,
pi-795,,,22.25,22.25,round,0.051,0.051,plumbing,,
pi-796,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-797,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-798,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-799,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-800,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-801,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-802,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-803,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-804,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-805,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-806,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-807,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-808,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-809,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-810,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-811,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-812,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-813,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-814,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-815,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-816,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-817,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-818,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-819,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-820,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-821,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-822,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-823,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-824,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-825,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-826,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-827,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-828,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-829,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-830,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-831,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-832,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-833,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-834,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-835,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-836,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-837,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-838,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-839,,,22.804,22.301,round,0.051,0.051,plumbing,,
pi-840,,,22.25,22.25,round,0.051,0.051,plumbing,,
pi-841,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-842,,,22.804,22.301,round,0.051,0.051,plumbing,,
