id,number,base_offset,material,function,thickness
sl-1,,-5.156,"Concrete, Cast-in-Place gray",floor,0.305
sl-2,,-4.697,"Concrete, Cast-in-Place gray",floor,0.305
sl-3,,-3.34,"Concrete, Cast-in-Place gray",floor,0.305
