id,number,base_offset,x,y,name
sp-47,501,,-24.32,3.96,Office Unit 501
sp-48,502,,-0.31,1.902,Corridor 502
sp-49,503,,-9.236,-5.53,Green Roof 503
sp-50,504,,-9.58,10.26,Studio Unit 504
sp-51,505,,6.688,-5.477,Green Roof 505
sp-52,506,,6.652,10.26,Live/Work Unit 506
sp-53,507,,15.783,10.26,Live/Work Unit 507
sp-54,507A,,19.103,-5.477,Private Patio 507A
