id,number,base_offset,x,y,name
sp-9,S2,,-13.623,6.602,Stair S2
sp-10,E2,,-0.31,6.761,Elevator E2
sp-11,105,,-10.826,0.031,Commercial/Retail 105
sp-12,106,,-2.677,-2.72,Residential Lobby 106
sp-13,107,,-2.599,9.444,Utility 107
