id,number,base_offset,start_z,end_z,top_level_id,top_offset,width,step_count
st-15,,0,,,lv-6,0.445,0.279,3
st-16,,0,,,lv-6,0.305,0.279,2
st-17,,0.737,,,lv-7,0.038,0.305,2
