id,number,base_offset,thickness,width,length,material
f-1,,,,,,concrete
f-2,,,,,,concrete
f-3,,,,,,concrete
f-4,,,,,,concrete
f-5,,,,,,concrete
f-6,,,,,,concrete
f-7,,,,,,concrete
f-8,,,,,,concrete
f-9,,,,,,concrete
