id,number,base_offset,name
sp-7,106,,Exhibition 4 106
sp-8,107,,Storage 107
sp-26,125,,Restroom 125
sp-27,126,,Restroom 126
sp-28,127,,Elevator 127
sp-33,132,,Mechanic 132
sp-41,140,,Restroom 140
sp-42,141,,Restroom 141
sp-43,142,,Elevator 142
sp-44,143,,Mechanics 143
sp-62,161,,Exhibit 4 161
