id,number,base_offset,start_z,end_z,top_level_id,top_offset,width,step_count
st-18,,0,,,lv-17,0,0.279,24
st-19,,0,,,lv-17,0,0.279,24
st-20,,0,,,lv-17,0,0.279,24
