id,name,number,level_id,created_at,updated_at,base_offset,volume,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,x,y,rotation,system_type,equipment_type
eq-35,12 V,45,lv-7,,,0,1.608719887E-06,-30.89423408,-3.161494012,8.915510522,-30.86799525,-3.144102533,8.941075972,-30.88176295,-3.154220906,114.5503156,,
eq-36,12 V,46,lv-7,,,0,1.608719887E-06,-31.18214036,-3.778484639,5.054330516,-31.15590153,-3.76109316,5.079895966,-31.16966923,-3.771211533,114.5503156,,
eq-37,12 V,47,lv-7,,,0,1.608719887E-06,-13.51383554,13.22705,14.1144625,-13.48843554,13.230225,14.1398625,-13.50113554,13.22705,180,,
eq-38,12 V,48,lv-7,,,0,1.608719887E-06,-29.35677382,-4.611004252,5.050681834,-29.33053499,-4.593612773,5.076247284,-29.34430269,-4.603731146,114.5503156,,
eq-39,12 V,49,lv-8,,,0,1.608719887E-06,-32.12683841,-3.336574965,5.113236663,-32.10059958,-3.319183486,5.138802113,-32.11436728,-3.329301859,114.5503156,,
eq-40,12 V,50,lv-8,,,0,1.608719887E-06,-29.2999639,-4.256408427,7.014247079,-29.27372507,-4.239016948,7.039812528,-29.28749277,-4.249135321,114.5503156,,
eq-41,12 V,51,lv-8,,,0,1.608719887E-06,-31.03218475,-3.473632605,6.980234721,-31.00594592,-3.456241127,7.005800171,-31.01971362,-3.4663595,114.5503156,,
eq-42,12 V,52,lv-7,,,0,1.608719887E-06,-30.26417989,-4.2014768,5.030172947,-30.23794106,-4.184085321,5.055738396,-30.25170876,-4.194203694,114.5503156,,
eq-43,12 V,53,lv-7,,,0,1.608719887E-06,-29.98440961,-3.573810217,8.927314869,-29.95817078,-3.556418739,8.952880319,-29.97193848,-3.566537111,114.5503156,,
eq-44,12 V,54,lv-7,,,0,1.608719887E-06,-29.10582786,-3.971201101,8.942670461,-29.07958903,-3.953809622,8.968235911,-29.09335673,-3.963927995,114.5503156,,
eq-45,12 V,55,lv-8,,,0,1.608719887E-06,-31.83123347,-2.726783325,8.955369869,-31.80499464,-2.709391846,8.980935319,-31.81876234,-2.719510219,114.5503156,,
eq-46,12 V,56,lv-8,,,0,1.608719887E-06,-28.95616098,-3.666034382,10.86951963,-28.92992215,-3.648642903,10.89508508,-28.94368986,-3.658761276,114.5503156,,
eq-47,12 V,57,lv-8,,,0,1.608719887E-06,-30.72726184,-2.859845314,10.8649015,-30.70102301,-2.842453835,10.89046695,-30.71479071,-2.852572208,114.5503156,,
eq-48,12 V,58,lv-7,,,0,1.608719887E-06,-29.69859041,-2.957158102,12.78183969,-29.67235158,-2.939766623,12.80740514,-29.68611928,-2.949884996,114.5503156,,
eq-49,12 V,59,lv-7,,,0,1.608719887E-06,-28.79420277,-3.370977837,12.77309888,-28.76796394,-3.353586358,12.79866433,-28.78173165,-3.363704731,114.5503156,,
