id,number,base_offset,start_z,end_z,shape,size_x,size_y,system_type,start_node_id,end_node_id
pi-758,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-759,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-760,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-761,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-762,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-763,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-764,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-765,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-766,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-767,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-768,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-769,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-770,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-771,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-772,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-773,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-774,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-775,,,22.555,22.288,round,0.038,0.038,plumbing,,
pi-776,,,22.25,22.25,round,0.038,0.038,plumbing,,
pi-777,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-778,,,22.804,22.301,round,0.051,0.051,plumbing,,
pi-779,,,22.25,22.25,round,0.051,0.051,plumbing,,
pi-780,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-781,,,22.804,22.301,round,0.051,0.051,plumbing,,
pi-782,,,22.25,22.25,round,0.051,0.051,plumbing,,
pi-783,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-784,,,22.804,22.301,round,0.051,0.051,plumbing,,
pi-785,,,22.25,22.25,round,0.051,0.051,plumbing,,
pi-786,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-787,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-788,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-789,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-790,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-791,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-792,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-793,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-794,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-795,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-796,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-797,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-798,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-799,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-800,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-801,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-802,,,22.555,22.352,round,0.102,0.102,plumbing,,
pi-803,,,22.25,22.25,round,0.102,0.102,plumbing,,
pi-804,,,22.25,22.25,round,0.102,0.102,plumbing,,
