id,number,base_offset,system_type
mn-621,,1.219,plumbing
mn-622,,1.219,plumbing
mn-623,,1.219,plumbing
mn-624,,1.219,plumbing
mn-625,,1.219,plumbing
mn-626,,1.155,plumbing
mn-627,,1.219,plumbing
mn-628,,1.155,plumbing
mn-629,,1.219,plumbing
mn-630,,1.219,plumbing
mn-631,,1.155,plumbing
mn-632,,0.918,plumbing
mn-633,,1.219,plumbing
mn-634,,0.918,plumbing
mn-635,,0.854,plumbing
mn-636,,0.47,plumbing
mn-637,,0.918,plumbing
mn-638,,0.918,plumbing
mn-639,,0.918,plumbing
mn-640,,0.918,plumbing
mn-641,,0.854,plumbing
mn-642,,0.47,plumbing
mn-643,,0.918,plumbing
mn-644,,0.854,plumbing
mn-645,,0.47,plumbing
mn-646,,0.918,plumbing
mn-647,,0.854,plumbing
mn-648,,0.47,plumbing
mn-649,,0.918,plumbing
mn-650,,0.854,plumbing
mn-651,,0.47,plumbing
mn-652,,0.918,plumbing
mn-653,,0.854,plumbing
mn-654,,0.47,plumbing
mn-655,,0.918,plumbing
mn-656,,0.854,plumbing
mn-657,,0.47,plumbing
mn-658,,0.918,plumbing
mn-659,,0.854,plumbing
mn-660,,0.47,plumbing
mn-661,,0.918,plumbing
mn-662,,0.854,plumbing
mn-663,,0.47,plumbing
mn-664,,0.918,plumbing
mn-665,,0.854,plumbing
mn-666,,0.47,plumbing
mn-667,,0.918,plumbing
mn-668,,0.918,plumbing
mn-669,,0.356,plumbing
mn-670,,0.918,plumbing
mn-671,,0.854,plumbing
mn-672,,0.918,plumbing
mn-673,,0.854,plumbing
mn-674,,0.356,plumbing
mn-675,,0.918,plumbing
mn-676,,0.854,plumbing
mn-677,,0.356,plumbing
mn-678,,0.918,plumbing
mn-679,,0.918,plumbing
mn-680,,0.356,plumbing
mn-681,,0.918,plumbing
mn-682,,0.854,plumbing
mn-683,,0.918,plumbing
mn-684,,0.854,plumbing
mn-685,,0.356,plumbing
mn-686,,0.918,plumbing
mn-687,,0.854,plumbing
mn-688,,0.356,plumbing
mn-689,,1.524,plumbing
mn-690,,1.524,plumbing
mn-691,,1.524,plumbing
mn-692,,1.524,plumbing
mn-693,,1.524,plumbing
mn-694,,1.524,plumbing
mn-695,,1.524,plumbing
mn-696,,0.356,plumbing
mn-697,,1.524,plumbing
mn-698,,1.486,plumbing
mn-699,,0.356,plumbing
mn-700,,0.356,plumbing
mn-701,,1.524,plumbing
mn-702,,1.486,plumbing
mn-703,,1.524,plumbing
mn-704,,1.524,plumbing
mn-705,,1.524,plumbing
mn-706,,0.356,plumbing
mn-707,,0.356,plumbing
mn-708,,1.524,plumbing
mn-709,,1.486,plumbing
mn-710,,0.356,plumbing
mn-711,,1.524,plumbing
mn-712,,1.486,plumbing
mn-713,,-0.305,plumbing
mn-714,,-0.305,plumbing
mn-715,,-0.305,plumbing
mn-716,,-0.305,plumbing
mn-717,,-0.305,plumbing
mn-718,,-0.305,plumbing
mn-719,,-0.305,plumbing
mn-720,,-0.305,plumbing
mn-721,,-0.305,plumbing
mn-722,,-0.305,plumbing
mn-723,,-0.305,plumbing
mn-724,,-0.305,plumbing
mn-725,,-0.305,plumbing
mn-726,,-0.305,plumbing
mn-727,,-0.305,plumbing
mn-728,,-0.305,plumbing
mn-729,,-0.305,plumbing
mn-730,,-0.305,plumbing
mn-731,,-0.305,plumbing
mn-732,,-0.305,plumbing
mn-733,,-0.305,plumbing
mn-734,,-0.305,plumbing
mn-735,,-0.305,plumbing
mn-736,,-0.305,plumbing
mn-737,,-0.305,plumbing
mn-738,,-0.305,plumbing
mn-739,,-0.305,plumbing
mn-740,,-0.305,plumbing
mn-741,,-0.305,plumbing
mn-742,,-0.305,plumbing
mn-743,,-0.305,plumbing
mn-744,,-0.305,plumbing
mn-745,,-0.305,plumbing
mn-746,,-0.305,plumbing
mn-747,,-0.305,plumbing
mn-748,,-0.305,plumbing
mn-749,,-0.305,plumbing
mn-750,,-0.305,plumbing
mn-751,,-0.305,plumbing
mn-752,,-0.305,plumbing
mn-753,,-0.305,plumbing
mn-754,,-0.305,plumbing
mn-755,,-0.305,plumbing
mn-756,,-0.305,plumbing
mn-757,,-0.305,plumbing
mn-758,,-0.305,plumbing
mn-759,,-0.305,plumbing
mn-760,,-0.305,plumbing
mn-761,,-0.305,plumbing
mn-762,,-0.305,plumbing
mn-763,,-0.305,plumbing
mn-764,,-0.305,plumbing
mn-765,,-0.305,plumbing
mn-766,,-0.305,plumbing
mn-767,,-0.305,plumbing
mn-768,,-0.305,plumbing
mn-769,,-0.305,plumbing
mn-770,,-0.305,plumbing
mn-771,,-0.305,plumbing
mn-772,,-0.305,plumbing
mn-773,,-0.305,plumbing
mn-774,,-0.305,plumbing
mn-775,,-0.305,plumbing
